xflr5 v6.61

Plane name :        4
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -23.250     0.000  -1.025780   0.147120   0.016465   0.163585  -0.000000   0.000000   0.244402   0.000000  -0.000000   50.0000     0.2113
  -23.200     0.000  -1.023994   0.146592   0.016308   0.162899  -0.000000   0.000000   0.244000   0.000000  -0.000000   50.0000     0.2112
  -23.150     0.000  -1.022206   0.146063   0.016205   0.162268  -0.000000   0.000000   0.243605   0.000000  -0.000000   50.0000     0.2112
  -23.100     0.000  -1.020416   0.145535   0.016114   0.161649  -0.000000   0.000000   0.243212   0.000000  -0.000000   50.0000     0.2111
  -23.050     0.000  -1.018623   0.145007   0.016032   0.161039  -0.000000   0.000000   0.242819   0.000000  -0.000000   50.0000     0.2111
  -23.000     0.000  -1.016828   0.144480   0.015953   0.160433  -0.000000   0.000000   0.242426   0.000000  -0.000000   50.0000     0.2110
  -22.950     0.000  -1.015032   0.143953   0.015874   0.159827  -0.000000   0.000000   0.242032   0.000000  -0.000000   50.0000     0.2110
  -22.900     0.000  -1.013233   0.143427   0.015801   0.159228  -0.000000   0.000000   0.241638   0.000000  -0.000000   50.0000     0.2109
  -22.850     0.000  -1.011431   0.142901   0.015731   0.158631  -0.000000   0.000000   0.241244   0.000000  -0.000000   50.0000     0.2109
  -22.800     0.000  -1.009628   0.142375   0.015663   0.158038  -0.000000   0.000000   0.240850   0.000000  -0.000000   50.0000     0.2108
  -22.750     0.000  -1.007822   0.141850   0.015599   0.157448  -0.000000   0.000000   0.240456   0.000000  -0.000000   50.0000     0.2108
  -22.700     0.000  -1.006014   0.141325   0.015537   0.156861  -0.000000   0.000000   0.240061   0.000000  -0.000000   50.0000     0.2107
  -22.650     0.000  -1.004204   0.140800   0.015474   0.156275  -0.000000   0.000000   0.239665   0.000000  -0.000000   50.0000     0.2107
  -22.600     0.000  -1.002392   0.140276   0.015412   0.155689  -0.000000   0.000000   0.239269   0.000000  -0.000000   50.0000     0.2106
  -22.550     0.000  -1.000578   0.139753   0.015350   0.155103  -0.000000   0.000000   0.238872   0.000000  -0.000000   50.0000     0.2106
  -22.500     0.000  -0.998761   0.139230   0.015292   0.154522  -0.000000   0.000000   0.238474   0.000000  -0.000000   50.0000     0.2105
  -22.450     0.000  -0.996943   0.138707   0.015235   0.153943  -0.000000   0.000000   0.238077   0.000000  -0.000000   50.0000     0.2105
  -22.400     0.000  -0.995122   0.138185   0.015179   0.153364  -0.000000   0.000000   0.237678   0.000000  -0.000000   50.0000     0.2104
  -22.350     0.000  -0.993299   0.137663   0.015123   0.152786  -0.000000   0.000000   0.237279   0.000000  -0.000000   50.0000     0.2104
  -22.300     0.000  -0.991474   0.137142   0.015067   0.152209  -0.000000   0.000000   0.236879   0.000000  -0.000000   50.0000     0.2103
  -22.250     0.000  -0.989646   0.136621   0.015012   0.151633  -0.000000   0.000000   0.236479   0.000000  -0.000000   50.0000     0.2103
  -22.200     0.000  -0.987817   0.136101   0.014957   0.151058  -0.000000   0.000000   0.236078   0.000000  -0.000000   50.0000     0.2102
  -22.150     0.000  -0.985985   0.135581   0.014901   0.150482  -0.000000   0.000000   0.235676   0.000000  -0.000000   50.0000     0.2102
  -22.100     0.000  -0.984151   0.135062   0.014848   0.149909  -0.000000   0.000000   0.235274   0.000000  -0.000000   50.0000     0.2101
  -22.050     0.000  -0.982315   0.134543   0.014794   0.149337  -0.000000   0.000000   0.234871   0.000000  -0.000000   50.0000     0.2101
  -22.000     0.000  -0.980477   0.134024   0.014742   0.148766  -0.000000   0.000000   0.234467   0.000000  -0.000000   50.0000     0.2100
  -21.950     0.000  -0.978637   0.133506   0.014691   0.148197  -0.000000   0.000000   0.234063   0.000000  -0.000000   50.0000     0.2100
  -21.900     0.000  -0.976795   0.132989   0.014640   0.147629  -0.000000   0.000000   0.233658   0.000000  -0.000000   50.0000     0.2099
  -21.850     0.000  -0.974950   0.132472   0.014589   0.147061  -0.000000   0.000000   0.233252   0.000000  -0.000000   50.0000     0.2099
  -21.800     0.000  -0.973104   0.131955   0.014538   0.146493  -0.000000   0.000000   0.232846   0.000000  -0.000000   50.0000     0.2098
  -21.750     0.000  -0.971255   0.131439   0.014485   0.145925  -0.000000   0.000000   0.232439   0.000000  -0.000000   50.0000     0.2098
  -21.700     0.000  -0.969404   0.130924   0.014433   0.145357  -0.000000   0.000000   0.232031   0.000000  -0.000000   50.0000     0.2097
  -21.650     0.000  -0.967551   0.130409   0.014381   0.144790  -0.000000   0.000000   0.231622   0.000000  -0.000000   50.0000     0.2097
  -21.600     0.000  -0.965696   0.129894   0.014330   0.144225  -0.000000   0.000000   0.231213   0.000000  -0.000000   50.0000     0.2096
  -21.550     0.000  -0.963839   0.129380   0.014279   0.143660  -0.000000   0.000000   0.230803   0.000000  -0.000000   50.0000     0.2096
  -21.500     0.000  -0.961979   0.128867   0.014227   0.143094  -0.000000   0.000000   0.230392   0.000000  -0.000000   50.0000     0.2095
  -21.450     0.000  -0.960118   0.128354   0.014175   0.142529  -0.000000   0.000000   0.229981   0.000000  -0.000000   50.0000     0.2095
  -21.400     0.000  -0.958254   0.127842   0.014124   0.141966  -0.000000   0.000000   0.229568   0.000000  -0.000000   50.0000     0.2094
  -21.350     0.000  -0.956388   0.127330   0.014074   0.141404  -0.000000   0.000000   0.229156   0.000000  -0.000000   50.0000     0.2094
  -21.300     0.000  -0.954521   0.126819   0.014024   0.140843  -0.000000   0.000000   0.228742   0.000000  -0.000000   50.0000     0.2093
  -21.250     0.000  -0.952651   0.126308   0.013977   0.140285  -0.000000   0.000000   0.228329   0.000000  -0.000000   50.0000     0.2093
  -21.200     0.000  -0.950779   0.125798   0.013932   0.139729  -0.000000   0.000000   0.227915   0.000000  -0.000000   50.0000     0.2093
  -21.150     0.000  -0.948905   0.125288   0.013886   0.139174  -0.000000   0.000000   0.227500   0.000000  -0.000000   50.0000     0.2092
  -21.100     0.000  -0.947029   0.124779   0.013840   0.138619  -0.000000   0.000000   0.227084   0.000000  -0.000000   50.0000     0.2092
  -21.050     0.000  -0.945150   0.124270   0.013796   0.138066  -0.000000   0.000000   0.226668   0.000000  -0.000000   50.0000     0.2091
  -21.000     0.000  -0.943270   0.123762   0.013753   0.137515  -0.000000   0.000000   0.226252   0.000000  -0.000000   50.0000     0.2091
  -20.950     0.000  -0.941388   0.123255   0.013710   0.136965  -0.000000   0.000000   0.225834   0.000000  -0.000000   50.0000     0.2090
  -20.900     0.000  -0.939503   0.122748   0.013669   0.136417  -0.000000   0.000000   0.225417   0.000000  -0.000000   50.0000     0.2090
  -20.850     0.000  -0.937616   0.122242   0.013630   0.135872  -0.000000   0.000000   0.224999   0.000000  -0.000000   50.0000     0.2089
  -20.800     0.000  -0.935728   0.121736   0.013592   0.135328  -0.000000   0.000000   0.224580   0.000000  -0.000000   50.0000     0.2089
  -20.750     0.000  -0.933837   0.121231   0.013556   0.134787  -0.000000   0.000000   0.224161   0.000000  -0.000000   50.0000     0.2088
  -20.700     0.000  -0.931944   0.120726   0.013519   0.134246  -0.000000   0.000000   0.223741   0.000000  -0.000000   50.0000     0.2088
  -20.650     0.000  -0.930050   0.120223   0.013483   0.133705  -0.000000   0.000000   0.223320   0.000000  -0.000000   50.0000     0.2087
  -20.600     0.000  -0.928153   0.119719   0.013447   0.133166  -0.000000   0.000000   0.222899   0.000000  -0.000000   50.0000     0.2087
  -20.550     0.000  -0.926254   0.119216   0.013411   0.132628  -0.000000   0.000000   0.222477   0.000000  -0.000000   50.0000     0.2087
  -20.500     0.000  -0.924353   0.118714   0.013375   0.132090  -0.000000   0.000000   0.222055   0.000000  -0.000000   50.0000     0.2086
  -20.450     0.000  -0.922450   0.118213   0.013340   0.131553  -0.000000   0.000000   0.221632   0.000000  -0.000000   50.0000     0.2086
  -20.400     0.000  -0.920545   0.117712   0.013305   0.131017  -0.000000   0.000000   0.221208   0.000000  -0.000000   50.0000     0.2085
  -20.350     0.000  -0.918638   0.117211   0.013269   0.130481  -0.000000   0.000000   0.220783   0.000000  -0.000000   50.0000     0.2085
